vehicle_id,listing_date,manufacture_year,brand,vehicle_type,battery_capacity_kwh,battery_health_pct,range_km,km_driven,charging_time_hr,fast_charging,owner_count,city,service_history,resale_price
EV-20170,2025-01-01,2021,Nexora,SUV,46.9,89.6,313,28454,10,No,1,Chennai,Complete,1527836
EV-20530,2025-01-02,2025,Nexora,Crossover,80.6,99.5,543,183935.8448,7.1,No,2,Chennai,Complete,2040760
EV-20654,2025-01-03,2019,Nexora,Crossover,53.9,91.2,,12003,3.6,Yes,1,Chennai,Complete,1830249
EV-20935,2025-01-04,2022,GreenDrive,Hatchback,60.1,89.3,528,13623,7.8,Yes,2,Delhi,Complete,1726422
EV-20827,2025-01-05,2024,GreenDrive,Sedan,53,92,264,28548,6.1,No,1,Pune,Complete,1642232
EV-20547,2025-01-06,2022,Atheron,Crossover,44.1,89.6,407,37590,5.5,No,4,Mumbai,Complete,1533320
EV-20961,2025-01-07,2017,Atheron,Sedan,34.9,89.9,468,11615,5,No,1,Mumbai,Complete,1605157
EV-20584,2025-01-08,2017,Nexora,Hatchback,41.6,95.1,419,6999,6.8,No,1,Bengaluru,,1589566
EV-20708,2025-01-09,2025,Nexora,Sedan,51.9,92.6,522,128031,9.2,Yes,2,Pune,Complete,1608566
EV-20059,2025-01-10,2025,Atheron,Sedan,65.2,95.1,378,55670,5.7,Yes,1,Pune,Complete,1729157
EV-20859,2025-01-11,2023,E-Motion,SUV,74.4,89.7,323,28523,6.5,No,1,Delhi,Partial,1755898
EV-20922,2025-01-12,2021,GreenDrive,SUV,59,90.2,365,27800,9.5,Yes,2,Bengaluru,Complete,1674025
EV-20381,2025-01-13,2025,Nexora,Sedan,60.9,89.4,553,46088,7.3,Yes,2,Pune,Missing,1821084
EV-20023,2025-01-14,2020,E-Motion,Hatchback,,91.6,249,39537,7.8,Yes,1,Mumbai,Missing,1435208
EV-20541,2025-01-15,2019,Nexora,Sedan,60.6,100,551,11531,5.1,No,1,Pune,Missing,1889781
EV-20445,2025-01-16,2023,Nexora,Hatchback,61.2,83.2,372,102081,7.2,Yes,1,Pune,Partial,1589471
EV-20256,2025-01-17,2017,Voltix,Crossover,52.9,90.4,395,60192,4.4,Yes,1,Chennai,Complete,1590517
EV-20236,2025-01-18,2023,Nexora,Hatchback,74.6,96,400,47688,7.6,No,1,Mumbai,Complete,1721840
EV-20956,2025-01-19,2022,GreenDrive,Hatchback,61.3,94,358,28969,7.9,Yes,1,Chennai,Partial,1700375
EV-20301,2025-01-20,2025,E-Motion,Sedan,53.1,95.4,460,54736,5.4,Yes,3,Bengaluru,Complete,1820168
EV-20929,2025-01-21,2016,Voltix,SUV,79.7,93.6,412,20797,4.9,Yes,1,Pune,Complete,1899447
EV-20934,2025-01-22,2024,GreenDrive,Hatchback,26.9,84.9,417,31918,6,No,2,Delhi,Complete,1436470
EV-20842,2025-01-23,2025,Atheron,Crossover,50.1,93.7,193,73703,6.1,Yes,1,Chennai,Complete,1438113
EV-20663,2025-01-24,2024,Nexora,Crossover,48.1,94.3,331,47597,5.9,No,1,Chennai,Partial,1662876
EV-20501,2025-01-25,2022,GreenDrive,SUV,56.2,86.3,512,57420,5.2,No,1,Hyderabad,Missing,1651815
EV-20421,2025-01-26,2018,Nexora,Hatchback,58.9,91.3,323,52149,5.6,Yes,3,Delhi,Complete,1519960
EV-20208,2025-01-27,2019,GreenDrive,Crossover,37.1,89.1,376,29186,6.9,Yes,2,Delhi,Complete,1482521
EV-20085,2025-01-28,2022,Voltix,Sedan,96.5,85.1,424,26179,2.9,Yes,2,Pune,Missing,1835687
EV-20997,2025-01-29,2023,Voltix,Sedan,54.6,96.9,358,104549,5.6,No,1,Delhi,Complete,1486145
EV-20349,2025-01-30,2020,GreenDrive,SUV,73.5,87.8,268,31587,5.8,Yes,1,Mumbai,Complete,1701890
