CustomerID,Age,AnnualIncome,Spending,CreditScore,Balance,Tenure,Geography,Gender,Segment,Target
10001,58,49184,2139,581,,2,France,Male,SME,Stay
10002,65,162964,6197,732,6356.54,1,USA,Male,SME,Churn
10003,56,26956,37281,503,143203.92,8,Canada,Male,Corporate,Stay
10004,55,92926,925,463,139627.88,5,,Male,Retail,Churn
10005,66,108236,7198,394,75985.46,5,UK,Other,Corporate,Churn
10006,69,31390,48323,770,107245.62,6,India,Other,Corporate,Stay
10007,58,182141,24200,891,38457.72,1,India,Other,Retail,Churn
10008,67,95861,5729,538,173296.73,6,UK,Female,SME,Stay
10009,41,62638,24760,663,41901.41,4,France,Other,SME,Stay
10010,22,179680,42113,475,106827.98,3,USA,Female,Corporate,Churn
10011,,187772,45599,870,43923.03,5,India,,Retail,Stay
10012,69,102694,26790,574,13237.72,9,France,Female,Retail,Churn
10013,59,150870,26428,769,28574.32,2,USA,Other,SME,Stay
10014,52,88876,49456,898,85686.77,9,Canada,Female,Retail,Stay
10015,26,153569,32843,393,151156.43,1,USA,Other,Retail,Churn
10016,68,198384,28166,365,76953.46,9,Canada,Other,Corporate,Churn
10017,53,,45083,417,136342.07,8,UK,Other,Corporate,Churn
10018,,96939,28992,461,90744.74,4,,Male,SME,Churn
10019,24,183918,20058,819,121794.04,2,UK,Male,SME,Stay
10020,67,159029,537,631,97721.14,1,UK,Female,Retail,Churn
10021,21,83143,37682,380,17130.69,7,India,Other,Retail,Churn
10022,26,192949,31648,862,33025.39,8,,Female,Retail,Stay
10023,52,72730,47223,619,79798.46,10,France,Female,Corporate,Stay
10024,51,138354,8430,553,44939.47,5,India,Other,SME,Stay
10025,32,174256,14932,307,14198.62,10,India,,Retail,Churn
10026,20,106619,5143,826,47600.93,10,Canada,Male,SME,Stay
10027,26,169695,38262,784,48599.45,7,Canada,Male,Retail,Stay
10028,24,192748,28749,662,84715.72,7,France,Male,SME,Stay
10029,59,189392,6949,362,80524.26,5,India,Male,Retail,Churn
10030,30,160584,29900,443,84376.33,4,Canada,Male,Retail,Churn
10031,46,164264,6916,351,130428.98,8,India,Male,,Churn
10032,28,126539,32326,792,42749.46,6,India,Male,Corporate,Stay
10033,18,122346,17880,765,57049.85,8,France,Other,Corporate,Stay
10034,27,69780,19945,522,193741.87,9,France,Other,Retail,Stay
10035,65,102209,4246,351,116835.52,8,Germany,Male,Retail,Churn
10036,50,41000,12678,370,119007.02,10,USA,Female,Retail,Churn
10037,54,84543,38440,340,123876.3,6,France,Other,SME,Churn
10038,51,102934,17589,509,133945.19,5,USA,Female,Corporate,Stay
10039,26,196079,42803,607,91444.91,1,India,Female,SME,Churn
10040,54,46209,5301,850,42630.86,4,USA,Female,Retail,Stay
10041,33,116869,19176,461,87636.91,8,France,Female,SME,Churn
10042,69,191435,35164,308,133572.64,8,UK,Other,Retail,Churn
10043,26,89328,8064,409,148483.34,2,UK,Female,SME,Churn
10044,31,109884,13842,570,101081.81,4,India,Male,SME,Stay
10045,45,92530,3389,303,66711.31,2,France,Female,Retail,Churn
10046,65,135824,36654,737,112181.37,1,India,Other,Retail,Churn
10047,52,29444,24696,896,110505.02,6,USA,Male,Corporate,Stay
10048,41,30458,23949,515,136413.34,10,India,Female,SME,Stay
10049,44,182702,49617,458,185152.76,3,USA,Male,Corporate,Churn
10050,19,67018,48771,640,156477.3,6,France,Other,Retail,Stay
10051,35,61732,46458,410,76508.34,0,Canada,Male,Retail,Churn
10052,,140665,23415,612,164107.28,3,USA,Male,SME,Stay
10053,,124455,22012,585,,4,UK,Other,SME,Stay
10054,43,198131,35641,639,187847.43,1,UK,Male,SME,Churn
10055,34,30028,7604,744,69137.42,5,Canada,Other,SME,Stay
10056,25,120976,38287,494,50944.5,6,India,Other,SME,Churn
10057,61,195801,13412,672,86259.48,10,UK,Other,Corporate,Stay
10058,60,52669,47669,607,101424.5,10,Canada,Female,Corporate,Stay
10059,62,97504,36833,430,,10,Canada,Other,,Churn
10060,29,181353,37796,608,81215.03,0,UK,Female,Retail,Churn
10061,45,172039,40258,629,92997.64,7,France,Male,SME,Stay
10062,48,64483,43678,386,56757.28,10,France,Other,,Churn
10063,23,81569,44592,617,44928.13,3,USA,Male,Retail,Stay
